flare;radio_flux_10.7cm;sesc_sunspot_number;sunspot_area;goes15_xray_bkgd_flux;mwl_alpha;mwl_beta;mwl_gamma;mwl_beta_gamma;mwl_delta;mwl_beta_delta;mwl_beta_gamma_delta;mwl_gamma_delta
0;93;55;250;0.00000025;1;1;0;0;0;0;0;0
0;93;56;320;0.00000015;1;1;0;0;0;0;0;0
0;96;79;400;0.00000017;1;1;0;0;0;0;0;0
0;98;85;410;0.0000002;1;1;0;0;0;0;0;0
0;102;84;640;0.00000042;1;1;0;0;0;0;0;0
1;119;97;1000;0.00000031;1;1;0;0;0;0;0;0
0;116;101;1370;0.00000042;0;1;0;0;0;0;0;0
0;115;95;1590;0.00000028;0;1;0;1;0;0;0;0
0;109;98;1450;0.00000021;0;1;0;1;0;0;0;0
0;109;97;1050;0.00000019;0;1;0;1;0;0;0;0
0;108;51;760;0.00000024;0;1;0;0;0;0;1;0
0;103;74;790;0.0000002;0;1;0;1;0;0;0;0
0;98;61;770;0.00000036;1;1;0;1;0;0;0;0
0;95;62;790;0.00000023;0;1;0;1;0;0;0;0
1;93;52;490;0.00000019;1;1;0;0;0;0;0;0
0;88;30;200;0.00000032;1;1;0;0;0;0;0;0
0;88;18;90;0.00000024;1;1;0;0;0;0;0;0
0;88;15;60;0.00000033;0;1;0;0;0;0;0;0
0;85;39;90;0.0000002;0;1;0;0;0;0;0;0
0;89;47;230;0.0000001;1;1;0;0;0;0;0;0
0;92;48;290;0.0000001;1;1;0;0;0;0;0;0
1;93;47;300;0.00000026;1;1;0;0;0;0;0;0
0;89;50;320;0.00000015;1;0;0;1;0;0;0;0
0;89;40;260;0.000000091;0;1;0;1;0;0;0;0
0;88;33;240;0.000000066;1;1;0;0;0;0;0;0
0;87;23;260;0.00000014;1;1;0;0;0;0;0;0
0;90;27;220;0.000000089;0;1;0;0;0;0;0;0
0;88;25;260;0.00000021;1;1;0;0;0;0;0;0
0;87;38;160;0.00000018;1;1;0;0;0;0;0;0
0;86;26;80;0.000000085;1;1;0;0;0;0;0;0
0;86;27;90;0.000000079;1;1;0;0;0;0;0;0
0;83;26;70;0.000000073;1;1;0;0;0;0;0;0
0;84;26;40;0.000000043;1;1;0;0;0;0;0;0
0;84;24;20;0.000000037;1;1;0;0;0;0;0;0
0;84;35;10;0.000000037;1;1;0;0;0;0;0;0
0;83;17;10;0.000000044;1;1;0;0;0;0;0;0
0;84;27;20;0.000000035;0;1;0;0;0;0;0;0
0;84;44;40;0.000000041;0;1;0;0;0;0;0;0
0;86;31;50;0.000000031;1;1;0;0;0;0;0;0
0;89;60;90;0.000000045;0;1;0;0;0;0;0;0
0;88;48;110;0.000000068;1;1;0;0;0;0;0;0
0;85;44;110;0.000000065;1;1;0;0;0;0;0;0
0;87;47;180;0.000000058;1;1;0;0;0;0;0;0
0;88;45;170;0.000000072;1;1;0;0;0;0;0;0
0;88;52;190;0.00000023;0;1;0;0;0;0;0;0
0;87;45;130;0.00000013;0;1;0;0;0;0;0;0
0;85;37;90;0.00000016;0;1;0;0;0;0;0;0
0;83;25;60;0.000000076;1;1;0;0;0;0;0;0
0;85;27;50;0.000000048;1;0;0;0;0;0;0;0
0;81;13;10;0.00000006;0;1;0;0;0;0;0;0
0;80;0;0;0.000000016;0;1;0;0;0;0;0;0
0;79;11;0;0.000000013;0;0;0;0;0;0;0;0
0;81;13;20;0.000000016;1;0;0;0;0;0;0;0
0;82;14;30;0.000000043;0;1;0;0;0;0;0;0
0;84;44;140;0.000000051;0;1;0;0;0;0;0;0
0;86;50;190;0.000000054;0;1;0;0;0;0;0;0
0;87;41;210;0.000000052;1;1;0;0;0;0;0;0
0;88;51;250;0.000000071;0;1;0;0;0;0;0;0
0;91;55;290;0.000000068;0;1;0;1;0;0;0;0
0;93;62;230;0.00000012;1;1;0;1;0;0;0;0
0;98;74;340;0.000000083;0;1;0;1;0;0;0;0
1;110;66;660;0.00000022;1;1;0;1;0;0;0;0
1;118;68;1030;0.0000015;1;0;0;0;0;0;1;0
0;114;51;940;0.00000082;0;1;0;0;0;0;1;0
1;105;60;840;0.00000097;0;1;0;0;0;0;1;0
0;94;60;690;0.00000022;0;1;0;1;0;0;0;0
0;90;61;580;0.00000019;1;0;0;1;0;0;0;0
0;86;40;40;0.00000012;1;1;0;0;0;0;0;0
0;89;28;120;0.000000095;1;1;0;0;0;0;0;0
0;92;28;160;0.00000017;1;1;0;0;0;0;0;0
0;87;26;100;0.00000022;0;1;0;0;0;0;0;0
0;90;41;180;0.00000021;0;1;0;0;0;0;0;0
0;93;48;350;0.00000017;1;1;0;0;0;0;0;0
0;96;35;450;0.0000002;1;1;0;0;0;0;0;0
0;96;58;390;0.00000036;0;1;0;1;0;0;0;0
0;94;74;450;0.00000023;1;0;0;1;0;0;0;0
0;92;71;380;0.00000011;1;1;0;0;0;0;1;0
0;99;62;290;0.000000073;1;1;0;1;0;0;0;0
0;89;57;310;0.0000003;1;1;0;0;0;0;1;0
0;96;52;360;0.0000001;0;1;0;1;0;0;0;0
0;100;62;410;0.00000015;0;1;0;0;0;0;1;0
0;100;70;350;0.00000019;1;1;0;0;0;0;0;0
1;103;61;320;0.00000017;1;1;0;1;0;0;0;0
0;102;58;260;0.00000031;1;1;0;0;0;0;0;0
1;108;43;360;0.00000037;1;1;0;0;0;0;0;0
1;111;44;620;0.00000034;1;1;0;0;0;0;0;0
1;116;40;680;0.00000059;1;1;0;0;0;0;0;0
1;112;48;720;0.00000044;1;0;0;0;0;0;1;0
0;112;56;940;0.0000004;1;0;0;1;0;0;0;0
1;117;73;560;0.00000023;0;0;0;0;0;0;1;0
0;112;54;610;0.00000024;1;0;0;1;0;0;0;0
0;112;54;610;0.00000044;0;0;0;1;0;0;0;0
0;107;34;320;0.00000019;0;1;0;1;0;0;0;0
0;104;58;350;0.00000015;1;1;0;0;0;0;0;0
0;109;44;320;0.00000015;1;1;0;0;0;0;0;0
0;99;70;290;0.00000039;0;1;0;0;0;0;0;0
